rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,timestamp
15,102. 망원역 1번출구 앞,24,160,37.55564880,126.91062927,ST-4,2024-05-09 23:45:26
14,103. 망원역 2번출구 앞,4,29,37.55495071,126.91083527,ST-5,2024-05-09 23:45:26
13,104. 합정역 1번출구 앞,0,0,37.55073929,126.91508484,ST-6,2024-05-09 23:45:26
5,105. 합정역 5번출구 앞,0,0,37.55000687,126.91482544,ST-7,2024-05-09 23:45:26
12,106. 합정역 7번출구 앞,0,0,37.54864502,126.91282654,ST-8,2024-05-09 23:45:26
5,107. 신한은행 서교동지점,13,260,37.55751038,126.91850281,ST-9,2024-05-09 23:45:26
12,108. 서교동 사거리,0,0,37.55274582,126.91861725,ST-10,2024-05-09 23:45:26
10,111. 상수역 2번출구 앞,1,10,37.54787064,126.92353058,ST-15,2024-05-09 23:45:26
10,112. 극동방송국 앞,0,0,37.54920197,126.92320251,ST-16,2024-05-09 23:45:26
25,113. 홍대입구역 2번출구 앞,0,0,37.55743790,126.92382050,ST-18,2024-05-09 23:45:26
15,114. 홍대입구역 8번출구 앞,0,0,37.55706024,126.92442322,ST-20,2024-05-09 23:45:26
15,115. 마스타 빌딩 앞,2,13,37.55893326,126.92711639,ST-12,2024-05-09 23:45:26
23,117. 홍은사거리,21,91,37.59115982,126.94132996,ST-17,2024-05-09 23:45:26
9,118. 광흥창역 2번출구 앞,6,67,37.54773331,126.93176270,ST-19,2024-05-09 23:45:26
10,119. 서강나루 공원,39,390,37.54520798,126.93146515,ST-21,2024-05-09 23:45:26
5,120. 신수동 사거리,9,180,37.54524231,126.93411255,ST-22,2024-05-09 23:45:26
15,121. 마포소방서 앞,25,167,37.54976654,126.93317413,ST-23,2024-05-09 23:45:26
10,122. 신성기사식당 앞,1,10,37.54745865,126.93837738,ST-24,2024-05-09 23:45:26
20,123. 문화촌 공원,13,65,37.59432983,126.94738770,ST-25,2024-05-09 23:45:26
35,124. 서강대 정문 건너편,0,0,37.55113983,126.93698883,ST-26,2024-05-09 23:45:26
20,126. 서강대 후문 옆,4,20,37.55041122,126.94384766,ST-28,2024-05-09 23:45:26
